A	Coef.CellType	Coef.CancerType.Epithelial	Coef.CancerType.Lyphocytes	t.CellType	t.CancerType.Epithelial	t.CancerType.Lyphocytes	p.value.CellType	p.value.CancerType.Epithelial	p.value.CancerType.Lyphocytes	F	F.p.value
5.07	0.213	-0.126	-0.084	2.51	-1.02	-0.73	0.02855	0.32871	0.48295	2.53	0.11008
6.79	0.256	-0.124	0.056	3.06	-1.01	0.49	0.01068	0.33253	0.63385	3.68	0.0465
9.72	0.384	-0.135	-0.111	2	-0.48	-0.42	0.07057	0.64085	0.68092	1.43	0.28692
8.25	0.904	-0.716	-0.457	2.72	-1.48	-1.01	0.01971	0.1678	0.3357	3.38	0.05755
9.13	2.852	0.165	0.049	8.22	0.33	0.1	0	0.75039	0.92022	22.83	5e-05
10.1	-1.615	1.615	0.608	-1.81	1.24	0.5	0.09731	0.24059	0.62764	1.64	0.23627
5.66	0.353	0.258	-0.13	2.38	1.19	-0.64	0.03607	0.25904	0.53449	2.42	0.12061
9.39	-0.175	-0.257	0.058	-1.52	-1.53	0.37	0.15632	0.15494	0.71998	1.56	0.25329
6.13	-1.103	0.147	0.763	-3.71	0.34	1.88	0.00338	0.74044	0.08677	5.4	0.01549
6.85	0.946	-1.88	-0.002	1.52	-2.07	0	0.15536	0.06216	0.99839	2.21	0.14318
6.15	-0.578	0.615	0.008	-1.37	1	0.01	0.19863	0.3408	0.98899	0.96	0.44629
8.55	-0.123	0.636	0.303	-0.4	1.43	0.73	0.69507	0.18119	0.48294	0.89	0.47581
9.55	0.475	0.539	-0.463	1.27	0.99	-0.91	0.22882	0.34406	0.38284	1.07	0.39981
9.88	0.362	0.093	-0.001	3.67	0.64	0	0.00364	0.53307	0.99623	4.66	0.02416
9.62	0.614	0.036	-0.192	2.58	0.1	-0.59	0.0254	0.91882	0.56627	2.26	0.1377
7.9	-0.296	-0.152	-0.225	-1.56	-0.55	-0.87	0.14721	0.59441	0.4034	1.26	0.33514
9.42	3.494	0.501	-0.546	10.95	1.07	-1.25	0	0.30562	0.23664	40.34	0
12.11	0.578	0.269	-0.322	3.47	1.1	-1.42	0.0052	0.29271	0.1841	4.8	0.02217
5.06	0.411	-0.1	-0.065	2.95	-0.49	-0.34	0.01305	0.63195	0.73704	2.98	0.07725
7.08	0.286	0	0.013	3.54	0	0.11	0.00454	0.99863	0.91116	4.25	0.03145
7.83	0.036	-0.074	-0.13	0.39	-0.56	-1.05	0.70082	0.58743	0.31532	0.5	0.68898
6.81	0.358	0.134	-0.015	3.56	0.92	-0.11	0.00438	0.37949	0.91243	4.53	0.02631
7.39	0.17	-0.095	-0.081	1.69	-0.65	-0.59	0.11812	0.53071	0.56637	1.16	0.36935
9.81	0.351	0.203	0.171	2.92	1.16	1.04	0.0139	0.27215	0.32098	3.87	0.04073
8.99	0.446	0.423	-0.09	3.64	2.37	-0.53	0.00382	0.03714	0.60328	6.3	0.00942
6.56	-0.011	0.147	0.084	-0.16	1.49	0.91	0.87218	0.16435	0.38003	1.02	0.42084
9.48	0.037	0.216	0.203	0.31	1.24	1.25	0.76326	0.23881	0.23578	1.1	0.38875
9.4	-0.012	-0.416	0.027	-0.08	-2.05	0.14	0.93449	0.06425	0.88812	1.42	0.29008
5.43	0.31	0.098	0.084	2.59	0.56	0.51	0.02505	0.58831	0.6175	2.53	0.11008
6.29	0.127	-0.148	-0.192	1.24	-0.98	-1.37	0.24043	0.34586	0.19863	1.36	0.30578
5.38	0.069	0.014	0.064	0.76	0.11	0.52	0.46182	0.9147	0.61553	0.32	0.81417
8.85	0.614	0.106	-0.073	3.71	0.44	-0.32	0.00341	0.67005	0.75211	4.64	0.02452
6.71	0.192	-0.098	0.013	2.24	-0.78	0.11	0.04609	0.44935	0.91658	1.92	0.18427
10.4	0.641	0.572	-0.105	5.38	3.28	-0.64	0.00022	0.0072	0.53386	13.24	0.00055
8.51	3.185	0.255	-0.144	10.75	0.59	-0.36	0	0.56681	0.72903	38.8	0
7.36	2.466	-0.028	0.075	8.01	-0.06	0.18	1e-05	0.95143	0.86209	21.69	6e-05
5.36	0.123	-0.137	0.119	1.73	-1.32	1.22	0.11159	0.21441	0.24864	2.22	0.14252
9.21	0.989	0.951	-0.32	2.18	1.44	-0.52	0.05152	0.17838	0.61576	2.3	0.13281
7.75	1.545	0.151	-0.025	4.42	0.3	-0.05	0.001	0.7724	0.95869	6.59	0.00806
7.8	-0.062	-0.332	0.141	-0.72	-2.64	1.19	0.48442	0.02302	0.25708	2.91	0.08153
12.84	0.362	-0.064	-0.064	4.44	-0.53	-0.57	0.00097	0.60384	0.57754	6.67	0.00776
8.29	0.269	-0.51	0.117	1.96	-2.54	0.62	0.07554	0.02715	0.54557	3.66	0.04712
5.56	0.121	-0.114	-0.187	1.04	-0.67	-1.17	0.32096	0.51753	0.26722	0.89	0.47552
11.72	-0.337	0.825	-0.081	-1.97	3.31	-0.35	0.07365	0.00687	0.73501	5.05	0.01908
9.85	0.2	-0.031	0.016	1.74	-0.18	0.1	0.11019	0.85829	0.92036	1.04	0.4125
10.13	-0.281	-0.101	-0.172	-1.4	-0.34	-0.63	0.18914	0.73686	0.54331	0.89	0.47714
7.88	-0.478	-0.277	-0.139	-1.84	-0.73	-0.39	0.09307	0.48078	0.70344	1.41	0.29104
9.86	0.024	-0.208	-0.065	0.19	-1.09	-0.37	0.85514	0.29851	0.72105	0.45	0.72303
6.36	0.517	0.001	-0.089	1.53	0	-0.19	0.15445	0.99822	0.84997	0.78	0.52969
9.3	0.213	0.762	-0.189	0.87	2.13	-0.56	0.40239	0.0563	0.58353	1.84	0.19719
9.2	0.326	0.48	-0.015	1.43	1.44	-0.05	0.1791	0.17629	0.96117	1.38	0.29873
10.71	-0.031	-0.161	0.167	-0.32	-1.14	1.26	0.75448	0.2799	0.23399	0.97	0.44063
7.28	-0.035	-0.193	0.068	-0.29	-1.11	0.42	0.77554	0.29004	0.68377	0.49	0.6956
10.24	0.322	0.102	-0.256	1.91	0.42	-1.11	0.08165	0.6847	0.28884	1.57	0.25197
5.38	0.452	-0.672	0.021	2.39	-2.43	0.08	0.03584	0.03337	0.93654	3.9	0.03997
9.77	0.413	0.471	-0.172	1.23	0.96	-0.38	0.24378	0.3572	0.71412	0.83	0.50221
6.57	-0.017	-0.185	-0.146	-0.15	-1.09	-0.92	0.88597	0.3007	0.37868	0.69	0.57575
10.05	1.041	-0.173	-0.49	2.31	-0.26	-0.8	0.04111	0.79727	0.44235	1.91	0.18578
11.56	0.057	0.305	-0.274	0.42	1.56	-1.5	0.68008	0.14641	0.16192	1.59	0.24787
8.49	0.005	0.658	-0.063	0.02	2.07	-0.21	0.98252	0.06228	0.83599	1.45	0.28188
9.58	-0.101	0.038	-0.316	-0.92	0.23	-2.09	0.37868	0.8199	0.06033	1.9	0.18791
11.25	-0.479	0.099	-0.261	-2.16	0.3	-0.86	0.05353	0.76657	0.40747	1.97	0.17624
11.6	-0.041	0.071	-0.369	-0.18	0.22	-1.21	0.8567	0.83173	0.25117	0.54	0.66759
7.54	0.89	0.809	-0.117	4.95	3.08	-0.48	0.00042	0.01033	0.64308	11.34	0.00104
9.18	-0.629	0.242	-0.12	-2.72	0.72	-0.38	0.01977	0.48888	0.71123	2.78	0.0907
6.18	0.097	-0.056	-0.067	0.91	-0.36	-0.46	0.38003	0.72776	0.65468	0.37	0.77813
9.14	0.805	0.032	0.153	2.4	0.07	0.33	0.03525	0.94923	0.74564	2.02	0.16849
8.34	0.282	-0.664	-0.407	0.75	-1.22	-0.8	0.46617	0.24863	0.44179	0.86	0.48998
6.99	0.064	-0.165	0.054	0.8	-1.4	0.49	0.44232	0.18755	0.63066	0.98	0.43733
6.13	0.191	-0.016	-0.01	2.28	-0.13	-0.09	0.04324	0.89586	0.93046	1.75	0.21483
7.7	0.301	-0.38	0.018	1.82	-1.58	0.08	0.09605	0.14318	0.93807	1.95	0.1793
6	0.304	-0.101	-0.043	3.25	-0.74	-0.34	0.00759	0.47433	0.74201	3.71	0.04543
9.46	0.183	0.341	0.125	0.83	1.06	0.41	0.42354	0.31241	0.68703	0.69	0.57904
6.36	-0.002	-0.285	-0.207	-0.01	-0.82	-0.64	0.99464	0.43104	0.53825	0.36	0.78408
10.93	2.193	-0.637	-0.149	6.28	-1.25	-0.31	6e-05	0.23731	0.76088	13.7	0.00047
9.43	0.28	-0.136	-0.099	3	-1	-0.78	0.012	0.33917	0.45324	3.41	0.05639
13.02	-0.494	-0.243	-0.364	-2.59	-0.87	-1.4	0.02481	0.40155	0.18942	3.41	0.05619
9.21	0.834	-0.128	0.124	3.08	-0.32	0.34	0.01037	0.75302	0.74382	3.33	0.05962
9.85	0.606	-0.154	0.175	2.13	-0.37	0.45	0.05618	0.71745	0.66036	1.71	0.2225
10.89	-0.095	0.527	-0.262	-0.97	3.68	-1.96	0.35203	0.00355	0.07581	6.25	0.00963
7.12	-0.388	0.068	-0.816	-0.96	0.12	-1.48	0.35671	0.91023	0.16636	1.15	0.37263
6.53	0.363	0.388	0.126	2.48	1.82	0.63	0.0302	0.09563	0.53897	3.42	0.05593
10.13	0.064	-0.241	-0.054	0.52	-1.33	-0.32	0.61501	0.20954	0.75734	0.7	0.56879
7.03	-0.141	0.376	-0.058	-1.01	1.85	-0.31	0.33256	0.09106	0.76428	1.54	0.25903
9.31	0.342	-0.204	0.246	2.79	-1.14	1.47	0.01733	0.27843	0.16929	4.06	0.03588
10.06	-0.04	0.034	0.468	-0.25	0.14	2.13	0.80699	0.88827	0.05682	1.51	0.26518
8.45	0.73	-0.576	-0.048	3.11	-1.68	-0.15	0.00973	0.12055	0.88395	4.18	0.03292
8.09	-1.757	0.095	-0.47	-3.89	0.14	-0.76	0.00248	0.8887	0.46196	5.49	0.01475
8.69	-1.32	-0.213	-0.249	-3.7	-0.41	-0.51	0.00342	0.68972	0.6187	4.89	0.02107
12.5	-0.164	0.332	-0.525	-1.07	1.48	-2.5	0.30652	0.16627	0.02907	3.41	0.05647
10.72	0.211	-0.171	0.047	1.77	-0.98	0.29	0.10461	0.34755	0.77759	1.43	0.28523
14.77	0.036	-0.009	-0.001	0.63	-0.1	-0.02	0.54176	0.92117	0.98636	0.14	0.9364
5.3	0.151	0.068	-0.166	1.63	0.5	-1.32	0.13003	0.62501	0.21452	1.43	0.28726
9.37	-0.178	-0.041	0.279	-1.6	-0.26	1.84	0.13726	0.80336	0.09271	1.83	0.19942
8.69	-0.096	-0.14	0.062	-0.89	-0.89	0.42	0.39384	0.39349	0.68123	0.56	0.65054
9.24	0.218	0.265	0.098	0.76	0.63	0.25	0.46278	0.54086	0.80704	0.36	0.7825
5.23	0.063	-0.081	0.044	0.83	-0.73	0.43	0.42254	0.47922	0.67695	0.5	0.6917
9.1	-1.329	0.655	-0.083	-5.73	1.93	-0.26	0.00013	0.07935	0.79801	12.4	0.00072
10.17	-1.037	0.468	-0.069	-5.35	1.65	-0.26	0.00022	0.12606	0.80019	10.68	0.00134
8.78	0.177	-0.269	-0.011	1.54	-1.6	-0.07	0.15231	0.13659	0.94437	1.65	0.23463
5.37	0.156	-0.014	0.056	2.06	-0.12	0.54	0.06382	0.90469	0.59956	1.6	0.24455
9.14	-0.005	0.216	-1.899	0	0.13	-1.26	0.99673	0.89562	0.23357	0.54	0.66432
8.17	-0.267	0.501	-0.268	-1.95	2.51	-1.43	0.0767	0.02897	0.17948	4.25	0.03154
6.4	0.178	-0.053	-0.679	0.94	-0.19	-2.63	0.36575	0.85132	0.02332	2.47	0.11567
8.33	0.61	0.991	-0.03	1.55	1.72	-0.06	0.14932	0.11253	0.95655	1.79	0.20608
7.09	0.167	-0.243	-0.131	1.72	-1.71	-0.99	0.11386	0.1153	0.3451	2.18	0.14743
6.44	0.127	0.175	0.041	1.06	1	0.25	0.31296	0.34038	0.80865	0.74	0.54737
7.98	0.282	0.134	0.042	1.91	0.62	0.21	0.08233	0.54824	0.839	1.4	0.29536
6.12	0.019	0.009	0.129	0.22	0.07	1.08	0.82915	0.94788	0.30284	0.43	0.73795
9.38	-0.254	0.178	0.388	-1.24	0.59	1.38	0.24178	0.56428	0.19335	1.16	0.36652
8.57	0.489	-0.728	-0.09	3.28	-3.34	-0.44	0.00729	0.00653	0.66663	7.3	0.00566
11.67	-0.129	0.387	-0.667	-0.51	1.05	-1.93	0.62057	0.31779	0.07959	1.77	0.21043
10.8	-0.627	-0.086	0.303	-3.09	-0.29	1.09	0.01014	0.77713	0.29776	3.42	0.05572
8.42	0.164	0.031	-0.087	2.1	0.27	-0.82	0.05901	0.791	0.4278	1.63	0.23889
8.16	0.048	-0.004	0.214	0.34	-0.02	1.11	0.74242	0.98531	0.29176	0.48	0.70587
7.6	0.112	-0.078	0.372	0.66	-0.32	1.61	0.52348	0.75817	0.13587	1.12	0.38284
6.78	0.395	0.44	-0.56	1.64	1.25	-1.71	0.12805	0.23542	0.11547	2.23	0.14119
5.85	0.216	-0.019	-0.101	1.24	-0.08	-0.43	0.23905	0.94137	0.67814	0.55	0.65897
11.64	0.41	0.297	0.013	2.26	1.12	0.05	0.04491	0.28568	0.95923	2.15	0.15174
6.62	-0.026	0.157	0.131	-0.31	1.28	1.14	0.75912	0.22504	0.27742	1	0.42919
5.31	0.295	-0.11	-0.07	2.95	-0.75	-0.51	0.01311	0.46923	0.62051	3.1	0.07067
10.05	1.529	-1.654	-0.499	5.79	-4.29	-1.38	0.00012	0.00126	0.19384	17.51	0.00016
6.64	0.452	-0.287	-0.326	1.26	-0.55	-0.66	0.23441	0.59618	0.52084	0.72	0.55807
11.04	-1.032	1.341	-0.343	-2.55	2.27	-0.62	0.0269	0.04424	0.54755	4.13	0.03408
8.36	0.035	-0.23	-0.661	0.09	-0.39	-1.21	0.93219	0.70161	0.25165	0.54	0.66501
8.72	0.157	-0.192	-0.165	1.76	-1.48	-1.35	0.10623	0.16736	0.2031	2.23	0.14171
7.81	3.925	-0.648	0.062	5.26	-0.59	0.06	0.00026	0.56376	0.95232	9.46	0.00216
7.74	-0.324	0.427	-0.269	-1.29	1.16	-0.78	0.22453	0.26965	0.45076	1.28	0.32945
10.12	0.254	-0.035	0.015	2.83	-0.27	0.12	0.0163	0.79501	0.90363	2.74	0.09323
9.97	0.198	0.143	-0.105	2.4	1.19	-0.93	0.03491	0.25899	0.37014	2.56	0.10783
8.16	0.303	-0.083	-0.17	2.3	-0.43	-0.94	0.04187	0.67534	0.36654	2	0.17241
10.32	0.883	0.553	0.02	1.14	0.49	0.02	0.27639	0.63328	0.98501	0.52	0.67537
9.65	0.282	0.235	0.184	0.47	0.27	0.22	0.64696	0.7935	0.82637	0.12	0.94494
7.7	0.638	-0.115	-0.062	4.08	-0.51	-0.29	0.00177	0.62258	0.77716	5.65	0.01345
7.23	0.129	0.044	0.083	1.43	0.33	0.67	0.17925	0.74736	0.5138	0.94	0.45204
6.86	0.136	0.294	-0.143	0.92	1.37	-0.71	0.37501	0.19734	0.49073	1.04	0.41188
9.29	0.337	0.089	-0.172	3.68	0.66	-1.37	0.00358	0.52086	0.1979	5	0.01966
8.42	0.188	-0.101	-0.123	2.36	-0.87	-1.13	0.03775	0.40255	0.28135	2.38	0.12485
8.56	-0.149	-0.326	0.15	-0.97	-1.44	0.71	0.35487	0.17611	0.49049	1.14	0.3769
5.77	0.101	-0.009	-0.019	1.26	-0.08	-0.18	0.23345	0.94032	0.86224	0.53	0.66943
7.56	-0.441	-0.462	0.305	-3.82	-2.74	1.93	0.00279	0.0191	0.07935	8.18	0.00373
12.86	-0.118	-0.421	-0.335	-0.74	-1.81	-1.54	0.4754	0.09811	0.15267	2.14	0.15274
8.88	-2.046	0.176	0.135	-3.56	0.21	0.17	0.00443	0.83805	0.86641	4.24	0.0317
8.52	0.007	-0.091	-0.022	0.07	-0.64	-0.17	0.94572	0.53229	0.86755	0.15	0.9281
7.97	0.015	-0.174	0.192	0.17	-1.34	1.58	0.86679	0.20802	0.1431	1.46	0.2786
7.03	0.356	-0.354	0.096	1.72	-1.17	0.34	0.11388	0.26754	0.74266	1.52	0.26315
7.45	0.604	-0.896	0.104	2.59	-2.63	0.33	0.02491	0.02322	0.7492	4.66	0.02427
7.92	1.39	0.975	-0.702	3.22	1.55	-1.19	0.008	0.14972	0.25827	4.52	0.02644
6.69	0.209	-0.14	0.106	2.89	-1.32	1.07	0.01468	0.21342	0.30577	3.97	0.0379
5.53	-0.095	-0.134	0.259	-1	-0.97	2	0.34027	0.35506	0.07062	1.86	0.19441
6.91	-0.121	-0.06	-0.004	-1	-0.34	-0.02	0.33905	0.74278	0.98096	0.38	0.77252
5.31	0.125	0.188	-0.06	1.21	1.24	-0.42	0.25311	0.24026	0.68119	1.03	0.41717
6.51	-0.093	-0.228	0.129	-0.78	-1.31	0.79	0.45191	0.21704	0.44401	0.95	0.45103
6.56	-0.073	-0.168	0.044	-0.76	-1.19	0.34	0.46472	0.26057	0.74366	0.68	0.58084
9.37	-0.086	-0.32	0.149	-0.59	-1.49	0.74	0.56847	0.16382	0.47368	1.01	0.42314
8.3	-0.234	-0.245	0.129	-1.82	-1.3	0.73	0.09641	0.21882	0.47849	1.77	0.21036
7.62	-0.667	-0.258	-0.146	-3.4	-0.9	-0.55	0.00582	0.38611	0.59551	4.39	0.02876
9.17	-0.524	-0.233	1.389	-0.93	-0.28	1.81	0.37135	0.78208	0.09807	1.31	0.32108
5.27	-0.006	-0.154	0.007	-0.07	-1.22	0.06	0.94866	0.24702	0.95476	0.5	0.68979
9.78	-0.149	-0.198	-0.059	-1.48	-1.34	-0.42	0.16715	0.20559	0.67901	1.44	0.28355
5.46	-0.106	-0.082	0.047	-1.12	-0.6	0.36	0.2846	0.561	0.72343	0.56	0.65066
9.03	-0.269	-0.143	0.019	-2.3	-0.84	0.12	0.04145	0.42121	0.90846	2.01	0.17088
10.93	-0.223	-0.153	0.088	-2.39	-1.12	0.69	0.03537	0.28476	0.50299	2.4	0.12245
7.21	-0.219	-0.264	0.088	-1.6	-1.32	0.47	0.13763	0.21434	0.64791	1.46	0.27719
6.11	-0.245	-0.481	0.087	-1.73	-2.32	0.45	0.1118	0.04013	0.6611	2.82	0.0877
9.83	0.308	-0.225	0.018	2.64	-1.32	0.11	0.02264	0.21343	0.91198	2.96	0.07885
8.33	-0.061	-0.168	0.1	-0.57	-1.07	0.68	0.58254	0.30722	0.50987	0.62	0.61617
8.72	0.011	0.039	0.093	0.07	0.18	0.46	0.94413	0.86043	0.65236	0.09	0.96582
9.76	-0.329	-0.174	0.332	-3.36	-1.21	2.48	0.00632	0.25019	0.03053	5.8	0.01234
5.73	0.378	-0.316	0.181	2.8	-1.6	0.98	0.01721	0.13707	0.34814	3.99	0.03745
9.22	-0.286	-0.061	0.143	-3.41	-0.5	1.25	0.00572	0.62882	0.23863	4.24	0.03167
5.68	-0.099	-0.119	0.236	-0.89	-0.73	1.55	0.39115	0.47891	0.14854	1.17	0.36579
14.64	-0.148	0.058	-0.016	-2.02	0.54	-0.16	0.06789	0.59806	0.87206	1.51	0.26697
5.92	0.242	-0.24	0.048	2.02	-1.38	0.3	0.06763	0.19539	0.77223	2.08	0.16035
5.61	0.117	-0.005	-0.07	1.39	-0.04	-0.6	0.19195	0.96659	0.55748	0.72	0.56145
5.97	0.095	-0.167	0.076	0.84	-1	0.49	0.42116	0.33703	0.63705	0.68	0.58435
5.72	0.127	-0.067	0.064	1.43	-0.52	0.53	0.17911	0.6152	0.60709	0.93	0.46043
7.86	0.091	-0.384	0.045	0.64	-1.86	0.23	0.5328	0.08939	0.82144	1.32	0.31639
5.5	0.033	-0.4	-0.141	0.27	-2.2	-0.83	0.79303	0.04947	0.42305	1.86	0.19386
9.83	-0.067	-0.291	0.019	-0.48	-1.41	0.1	0.64286	0.18636	0.92317	0.74	0.55094
5.6	-0.479	-0.044	-0.028	-5.76	-0.36	-0.25	0.00012	0.72641	0.81038	11.32	0.00105
9	0.105	0.031	-0.048	0.79	0.16	-0.26	0.44572	0.87719	0.79805	0.23	0.87485
5.53	-0.151	0.047	-0.061	-2.16	0.46	-0.64	0.05333	0.65404	0.5379	1.87	0.1927
9.78	-0.148	-0.391	0.058	-0.93	-1.69	0.27	0.37129	0.11851	0.79208	1.25	0.33698
9.05	-0.085	-0.192	-0.168	-0.57	-0.89	-0.83	0.57755	0.39142	0.42228	0.64	0.60427
5.51	-0.228	-0.107	-0.047	-1.99	-0.64	-0.3	0.07198	0.53521	0.76984	1.54	0.25956
8.68	-0.457	-0.059	0.119	-3.11	-0.27	0.59	0.00984	0.78842	0.56637	3.27	0.06218
5.85	0.052	-0.268	0.15	0.41	-1.44	0.86	0.69118	0.17656	0.40712	1.02	0.41934
9.99	-0.189	-0.049	0.072	-2.3	-0.4	0.64	0.04193	0.69457	0.53319	1.87	0.19188
8.84	-0.307	-0.087	0.158	-2.63	-0.51	0.99	0.02312	0.61932	0.34237	2.58	0.10614
6.81	-0.396	-0.146	0.27	-3.82	-0.96	1.91	0.00281	0.3573	0.08267	5.95	0.01134
7.23	-0.085	-0.408	0.021	-0.58	-1.9	0.11	0.57378	0.0843	0.91804	1.31	0.31967
9.29	-0.298	-0.125	0.182	-2.46	-0.7	1.1	0.03167	0.49622	0.29496	2.42	0.12026
6.42	0.029	-0.348	0.015	0.25	-2.08	0.1	0.80734	0.06163	0.92595	1.47	0.27698
5.86	0.037	-0.421	0.138	0.26	-2.02	0.7	0.80119	0.06829	0.49552	1.56	0.254
9.15	-0.143	-0.192	-0.031	-1.39	-1.27	-0.22	0.19256	0.22988	0.83146	1.22	0.3475
8.86	0.015	-0.583	0.074	0.1	-2.75	0.37	0.91872	0.0186	0.71604	2.58	0.10594
8.33	0.011	0.219	0.25	0.04	0.58	0.71	0.96678	0.57162	0.49052	0.29	0.83389
6.91	-0.088	-0.179	0.13	-0.87	-1.2	0.93	0.4052	0.25614	0.37072	0.97	0.44134
6.68	-0.16	0.09	0.132	-1.65	0.64	1	0.12739	0.53729	0.34067	1.27	0.33065
6.08	-0.017	-0.025	-0.024	-0.17	-0.18	-0.19	0.86475	0.86184	0.85634	0.03	0.99093
5.4	-0.186	-0.184	0.13	-1.72	-1.17	0.88	0.11301	0.2666	0.39797	1.61	0.24206
6.24	-0.039	-0.219	0.025	-0.36	-1.41	0.17	0.7223	0.18726	0.8671	0.71	0.56644
6.54	0.067	-0.076	-0.014	0.73	-0.57	-0.11	0.47766	0.58176	0.91073	0.29	0.83322
8.18	-0.233	0.009	0.151	-2.13	0.06	1.01	0.05613	0.95641	0.33262	1.73	0.2171
7.76	0.054	-0.309	-0.06	0.44	-1.72	-0.36	0.67182	0.11405	0.72875	1.08	0.39853
9.55	0.374	0.342	-0.199	1.3	0.81	-0.5	0.22149	0.4344	0.62431	0.83	0.50618
6.52	0.109	-0.24	0.021	1.24	-1.87	0.17	0.24029	0.08869	0.86655	1.7	0.22342
8.12	-0.142	-0.238	0.067	-1.14	-1.31	0.39	0.27807	0.2171	0.70078	1.03	0.41608
8.68	-0.167	-0.158	0.069	-1.53	-0.99	0.46	0.15357	0.34302	0.6527	1.14	0.37457
7.58	-0.295	0.039	0.118	-3.59	0.33	1.05	0.00417	0.74868	0.317	4.5	0.02683
5.8	0.017	-0.206	0.137	0.19	-1.64	1.16	0.85068	0.12969	0.2709	1.37	0.30197
6.59	-0.47	-0.126	-0.179	-4.26	-0.78	-1.19	0.00131	0.4504	0.25921	7.13	0.00615
6.31	0.031	-0.317	0.191	0.32	-2.25	1.45	0.75557	0.04541	0.17448	2.47	0.11638
10.19	0.017	-0.416	-0.096	0.13	-2.19	-0.54	0.89669	0.0505	0.59909	1.7	0.22341
6.37	-0.157	0.027	0.14	-1.5	0.18	0.98	0.16095	0.8631	0.34818	1	0.43037
8.37	0.119	-0.08	0.089	0.91	-0.42	0.5	0.38127	0.68196	0.62801	0.45	0.72089
8.36	0.04	-0.269	0.084	0.34	-1.56	0.52	0.74168	0.14705	0.61261	0.95	0.44911
6.78	0.04	-0.253	0.093	0.34	-1.49	0.58	0.73678	0.16278	0.57111	0.91	0.46598
6.15	-0.2	0.029	0.081	-2.46	0.25	0.73	0.03151	0.8088	0.48094	2.12	0.15547
9.78	0.113	-0.293	-0.001	0.69	-1.21	0	0.50663	0.24985	0.99641	0.65	0.59925
6.42	-0.198	-0.042	0.128	-1.73	-0.25	0.82	0.11067	0.80672	0.431	1.16	0.36697
8.76	-0.165	-0.11	0.226	-1.42	-0.65	1.42	0.18241	0.52837	0.18193	1.37	0.30211
9.11	-0.101	-0.122	0.128	-0.83	-0.69	0.78	0.42222	0.50512	0.45395	0.55	0.65718
5.66	0.046	-0.055	0.149	0.48	-0.4	1.15	0.63838	0.69802	0.27458	0.61	0.62083
5.61	-0.297	-0.052	0.133	-3.59	-0.43	1.17	0.00417	0.67245	0.26502	4.59	0.02536
8.96	-0.231	-0.16	0.183	-2.42	-1.15	1.41	0.03354	0.27431	0.18687	2.86	0.08498
14.7	-0.069	0.071	-0.002	-1.04	0.74	-0.02	0.32125	0.47665	0.98319	0.55	0.66138
9.6	-0.091	-0.064	0.034	-1.07	-0.52	0.29	0.30695	0.61628	0.77547	0.48	0.70095
9.67	-0.155	-0.168	0.152	-1.54	-1.13	1.1	0.15262	0.28102	0.29603	1.52	0.2645
5.7	-0.125	-0.007	0.109	-1.01	-0.04	0.64	0.33383	0.96789	0.53351	0.44	0.72865
7.73	-0.158	-0.058	0.152	-1.68	-0.42	1.18	0.1218	0.68105	0.2623	1.34	0.31014
6.18	-0.083	-0.254	0.267	-0.43	-0.9	1.01	0.67668	0.38632	0.33316	0.65	0.59976
10.46	-0.189	-0.095	0.096	-1.91	-0.65	0.71	0.08263	0.52728	0.49513	1.45	0.28209
6.21	-0.234	-0.145	-0.1	-2.15	-0.91	-0.67	0.05423	0.38204	0.51645	2.08	0.16048
12.53	0.072	-0.325	-0.073	0.6	-1.85	-0.45	0.55902	0.09063	0.66297	1.32	0.31799
6.05	0.16	-0.313	0.064	1.22	-1.63	0.36	0.24707	0.13033	0.72781	1.46	0.27746
5.97	-0.2	-0.284	-0.019	-1.33	-1.29	-0.09	0.21028	0.22179	0.92716	1.16	0.36665
12.05	0.136	-0.112	-0.092	1.75	-0.99	-0.87	0.10721	0.34141	0.40302	1.52	0.26414
5.45	0.056	0.02	0.117	0.69	0.17	1.06	0.50646	0.86863	0.31268	0.59	0.63273
6.59	0.229	-0.226	-0.008	2.37	-1.61	-0.06	0.03701	0.13598	0.95118	2.74	0.09328
7.76	0.196	-0.198	0.063	1.93	-1.34	0.45	0.07921	0.20784	0.65852	1.98	0.17498
9.28	-0.058	0.127	0.132	-0.49	0.73	0.82	0.63599	0.47875	0.4314	0.46	0.71769
5.69	-0.112	-0.027	0.13	-1.21	-0.2	1.03	0.2503	0.84639	0.32617	0.78	0.52841
5.08	0.025	0.179	-0.091	0.29	1.43	-0.77	0.77451	0.18147	0.45633	0.89	0.47533
8.26	-0.355	-0.234	0.022	-3.39	-1.53	0.15	0.00597	0.15444	0.88203	4.62	0.02491
5.97	0.033	-0.271	-0.083	0.31	-1.78	-0.58	0.76025	0.10252	0.57347	1.19	0.35811
9.52	-0.028	-0.191	0.058	-0.26	-1.24	0.4	0.79912	0.24143	0.69549	0.58	0.63967
8.98	-0.006	-0.322	0.031	-0.05	-1.83	0.19	0.96138	0.09474	0.85284	1.12	0.38089
10.66	-0.133	-0.179	0.198	-1.4	-1.29	1.51	0.19007	0.22485	0.15773	1.84	0.19776
5.1	-0.089	-0.037	0.06	-1.32	-0.37	0.65	0.2134	0.71484	0.5269	0.72	0.56035
7.33	-0.175	-0.036	0.312	-1.73	-0.24	2.26	0.11211	0.81201	0.04509	2.48	0.11494
5.56	-0.124	-0.115	0.088	-1.17	-0.75	0.61	0.26467	0.47083	0.55427	0.73	0.55601
